admin2_name,Attribute,Value
PH012800000,primary_language,Ilocano
PH012900000,primary_language,Ilocano
PH013300000,primary_language,Ilocano
PH015500000,primary_language,Pangasinan/Panggalato
PH020900000,primary_language,Ivatan
PH021500000,primary_language,Ilocano
PH023100000,primary_language,Ilocano
PH025000000,primary_language,Ilocano
PH025700000,primary_language,Ilocano
PH030800000,primary_language,Tagalog
PH031400000,primary_language,Tagalog
PH034900000,primary_language,Tagalog
PH035400000,primary_language,Kapampangan
PH036900000,primary_language,Kapampangan
PH037100000,primary_language,Tagalog
PH037700000,primary_language,Tagalog
PH041000000,primary_language,Tagalog
PH042100000,primary_language,Tagalog
PH043400000,primary_language,Tagalog
PH045600000,primary_language,Tagalog
PH045800000,primary_language,Tagalog
PH050500000,primary_language,Bikol
PH051600000,primary_language,Tagalog
PH051700000,primary_language,Bikol
PH052000000,primary_language,Bikol
PH054100000,primary_language,Masbateño/Masbatenon
PH056200000,primary_language,Bikol
PH060400000,primary_language,Akeanon
PH060600000,primary_language,Karay-a
PH061900000,primary_language,Capizeño
PH063000000,primary_language,Hiligaynon Ilonggo
PH067900000,primary_language,Hiligaynon Ilonggo
PH071200000,primary_language,Cebuano
PH072200000,primary_language,Cebuano
PH076100000,primary_language,Bisaya/Binisaya
PH082600000,primary_language,Waray
PH083700000,primary_language,Waray
PH084800000,primary_language,Waray
PH086000000,primary_language,Waray
PH086400000,primary_language,Bisaya/Binisaya
PH087800000,primary_language,Bisaya/Binisaya
PH097200000,primary_language,Bisaya/Binisaya
PH097300000,primary_language,Bisaya/Binisaya
PH098300000,primary_language,Bisaya/Binisaya
PH099700000,primary_language,Tausug
PH101300000,primary_language,Bisaya/Binisaya
PH101800000,primary_language,Bisaya/Binisaya
PH103500000,primary_language,Bisaya/Binisaya
PH104200000,primary_language,Bisaya/Binisaya
PH104300000,primary_language,Bisaya/Binisaya
PH112300000,primary_language,Bisaya/Binisaya
PH112400000,primary_language,Bisaya/Binisaya
PH112500000,primary_language,Bisaya/Binisaya
PH118200000,primary_language,Bisaya/Binisaya
PH118600000,primary_language,Bisaya/Binisaya
PH124700000,primary_language,Hiligaynon Ilonggo
PH126300000,primary_language,Hiligaynon Ilonggo
PH126500000,primary_language,Hiligaynon Ilonggo
PH128000000,primary_language,Cebuano
PH129800000,primary_language,Maguindanao
PH133900000,primary_language,Tagalog
PH137400000,primary_language,Tagalog
PH137500000,primary_language,Tagalog
PH137600000,primary_language,Tagalog
PH140100000,primary_language,Ilocano
PH141100000,primary_language,Ilocano
PH142700000,primary_language,Tuwali
PH143200000,primary_language,Kalinga language group
PH144400000,primary_language,Kankanaey
PH148100000,primary_language,Ilocano
PH150700000,primary_language,Yakan
PH153600000,primary_language,Maranao
PH153800000,primary_language,Maguindanao
PH156600000,primary_language,Tausug
PH157000000,primary_language,Unspecified Sama language
PH160200000,primary_language,Bisaya/Binisaya
PH160300000,primary_language,Bisaya/Binisaya
PH166700000,primary_language,Surigaonon
PH166800000,primary_language,Bisaya/Binisaya
PH168500000,primary_language,Bisaya/Binisaya
PH174000000,primary_language,Tagalog
PH175100000,primary_language,Tagalog
PH175200000,primary_language,Tagalog
PH175300000,primary_language,Tagalog
PH175900000,primary_language,Other languages
PH184500000,primary_language,Hiligaynon Ilonggo
PH184600000,primary_language,Bisaya/Binisaya
PH012800000,primary_language_share,0.981
PH012900000,primary_language_share,0.93
PH013300000,primary_language_share,0.91
PH015500000,primary_language_share,0.447
PH020900000,primary_language_share,0.945
PH021500000,primary_language_share,0.701
PH023100000,primary_language_share,0.704
PH025000000,primary_language_share,0.657
PH025700000,primary_language_share,0.767
PH030800000,primary_language_share,0.97
PH031400000,primary_language_share,0.986
PH034900000,primary_language_share,0.831
PH035400000,primary_language_share,0.786
PH036900000,primary_language_share,0.406
PH037100000,primary_language_share,0.674
PH037700000,primary_language_share,0.707
PH041000000,primary_language_share,0.994
PH042100000,primary_language_share,0.972
PH043400000,primary_language_share,0.985
PH045600000,primary_language_share,0.965
PH045800000,primary_language_share,0.973
PH050500000,primary_language_share,0.98
PH051600000,primary_language_share,0.652
PH051700000,primary_language_share,0.948
PH052000000,primary_language_share,0.99
PH054100000,primary_language_share,0.623
PH056200000,primary_language_share,0.989
PH060400000,primary_language_share,0.956
PH060600000,primary_language_share,0.929
PH061900000,primary_language_share,0.961
PH063000000,primary_language_share,0.788
PH067900000,primary_language_share,0.926
PH071200000,primary_language_share,0.73
PH072200000,primary_language_share,0.876
PH076100000,primary_language_share,0.939
PH082600000,primary_language_share,0.99
PH083700000,primary_language_share,0.489
PH084800000,primary_language_share,0.933
PH086000000,primary_language_share,0.93
PH086400000,primary_language_share,0.975
PH087800000,primary_language_share,0.57
PH097200000,primary_language_share,0.77
PH097300000,primary_language_share,0.421
PH098300000,primary_language_share,0.596
PH099700000,primary_language_share,0.303
PH101300000,primary_language_share,0.484
PH101800000,primary_language_share,0.767
PH103500000,primary_language_share,0.526
PH104200000,primary_language_share,0.846
PH104300000,primary_language_share,0.899
PH112300000,primary_language_share,0.742
PH112400000,primary_language_share,0.679
PH112500000,primary_language_share,0.49
PH118200000,primary_language_share,0.697
PH118600000,primary_language_share,0.679
PH124700000,primary_language_share,0.321
PH126300000,primary_language_share,0.388
PH126500000,primary_language_share,0.415
PH128000000,primary_language_share,0.306
PH129800000,primary_language_share,0.565
PH133900000,primary_language_share,0.951
PH137400000,primary_language_share,0.951
PH137500000,primary_language_share,0.951
PH137600000,primary_language_share,0.951
PH140100000,primary_language_share,0.739
PH141100000,primary_language_share,0.39
PH142700000,primary_language_share,0.349
PH143200000,primary_language_share,0.552
PH144400000,primary_language_share,0.433
PH148100000,primary_language_share,0.579
PH150700000,primary_language_share,0.521
PH153600000,primary_language_share,0.924
PH153800000,primary_language_share,0.637
PH156600000,primary_language_share,0.906
PH157000000,primary_language_share,0.521
PH160200000,primary_language_share,0.844
PH160300000,primary_language_share,0.584
PH166700000,primary_language_share,0.557
PH166800000,primary_language_share,0.381
PH168500000,primary_language_share,0.665
PH174000000,primary_language_share,0.997
PH175100000,primary_language_share,0.804
PH175200000,primary_language_share,0.863
PH175300000,primary_language_share,0.483
PH175900000,primary_language_share,0.404
PH184500000,primary_language_share,0.843
PH184600000,primary_language_share,0.811
PH012800000,secondary_language,Tagalog
PH012900000,secondary_language,Other languages
PH013300000,secondary_language,Tagalog
PH015500000,secondary_language,Ilocano
PH020900000,secondary_language,Tagalog
PH021500000,secondary_language,Itawis
PH023100000,secondary_language,Ibanag
PH025000000,secondary_language,Kalanguya
PH025700000,secondary_language,Other languages
PH030800000,secondary_language,Kapampangan
PH031400000,secondary_language,Bisaya/Binisaya
PH034900000,secondary_language,Ilocano
PH035400000,secondary_language,Tagalog
PH036900000,secondary_language,Ilocano
PH037100000,secondary_language,Zambal
PH037700000,secondary_language,Ilocano
PH041000000,secondary_language,Bisaya/Binisaya
PH042100000,secondary_language,Bisaya/Binisaya
PH043400000,secondary_language,Bikol
PH045600000,secondary_language,Bisaya/Binisaya
PH045800000,secondary_language,Bisaya/Binisaya
PH050500000,secondary_language,Tagalog
PH051600000,secondary_language,Bikol
PH051700000,secondary_language,Tagalog
PH052000000,secondary_language,Tagalog
PH054100000,secondary_language,Cebuano
PH056200000,secondary_language,Tagalog
PH060400000,secondary_language,Tagalog
PH060600000,secondary_language,Cuyonon/Cuyonen
PH061900000,secondary_language,Hiligaynon Ilonggo
PH063000000,secondary_language,Karay-a
PH067900000,secondary_language,Karay-a
PH071200000,secondary_language,Bisaya/Binisaya
PH072200000,secondary_language,Bisaya/Binisaya
PH076100000,secondary_language,Cebuano
PH082600000,secondary_language,Cebuano
PH083700000,secondary_language,Bisaya/Binisaya
PH084800000,secondary_language,Cebuano
PH086000000,secondary_language,Bisaya/Binisaya
PH086400000,secondary_language,Cebuano
PH087800000,secondary_language,Waray
PH097200000,secondary_language,Subanen/Subanon/Subanun
PH097300000,secondary_language,Chavacano
PH098300000,secondary_language,Cebuano
PH099700000,secondary_language,Chavacano
PH101300000,secondary_language,Cebuano
PH101800000,secondary_language,Cebuano
PH103500000,secondary_language,Maranao
PH104200000,secondary_language,Cebuano
PH104300000,secondary_language,Cebuano
PH112300000,secondary_language,Cebuano
PH112400000,secondary_language,Cebuano
PH112500000,secondary_language,Mandaya
PH118200000,secondary_language,Cebuano
PH118600000,secondary_language,Cebuano
PH124700000,secondary_language,Maguindanao
PH126300000,secondary_language,Cebuano
PH126500000,secondary_language,Maguindanao
PH128000000,secondary_language,B'laan/Blaan language group
PH129800000,secondary_language,Tagalog
PH133900000,secondary_language,Bisaya/Binisaya
PH137400000,secondary_language,Bisaya/Binisaya
PH137500000,secondary_language,Bisaya/Binisaya
PH137600000,secondary_language,Bisaya/Binisaya
PH140100000,secondary_language,Other languages
PH141100000,secondary_language,Kankanaey
PH142700000,secondary_language,Ayangan Ifugao
PH143200000,secondary_language,Ilocano
PH144400000,secondary_language,Other languages
PH148100000,secondary_language,Isnag
PH150700000,secondary_language,Tausug
PH153600000,secondary_language,Hiligaynon Ilonggo
PH153800000,secondary_language,Iranun
PH156600000,secondary_language,Unspecified Sama language
PH157000000,secondary_language,Tausug
PH160200000,secondary_language,Cebuano
PH160300000,secondary_language,Cebuano
PH166700000,secondary_language,Bisaya/Binisaya
PH166800000,secondary_language,Surigaonon
PH168500000,secondary_language,Cebuano
PH174000000,secondary_language,Bisaya/Binisaya
PH175100000,secondary_language,Bisaya/Binisaya
PH175200000,secondary_language,Bisaya/Binisaya
PH175300000,secondary_language,Cuyonon/Cuyonen
PH175900000,secondary_language,Romblomanon
PH184500000,secondary_language,Cebuano
PH184600000,secondary_language,Cebuano
PH012800000,secondary_language_share,0.01
PH012900000,secondary_language_share,0.033
PH013300000,secondary_language_share,0.049
PH015500000,secondary_language_share,0.442
PH020900000,secondary_language_share,0.048
PH021500000,secondary_language_share,0.185
PH023100000,secondary_language_share,0.123
PH025000000,secondary_language_share,0.104
PH025700000,secondary_language_share,0.071
PH030800000,secondary_language_share,0.017
PH031400000,secondary_language_share,0.005
PH034900000,secondary_language_share,0.16
PH035400000,secondary_language_share,0.19
PH036900000,secondary_language_share,0.397
PH037100000,secondary_language_share,0.15
PH037700000,secondary_language_share,0.261
PH041000000,secondary_language_share,0.002
PH042100000,secondary_language_share,0.008
PH043400000,secondary_language_share,0.005
PH045600000,secondary_language_share,0.022
PH045800000,secondary_language_share,0.009
PH050500000,secondary_language_share,0.018
PH051600000,secondary_language_share,0.345
PH051700000,secondary_language_share,0.05
PH052000000,secondary_language_share,0.009
PH054100000,secondary_language_share,0.268
PH056200000,secondary_language_share,0.009
PH060400000,secondary_language_share,0.014
PH060600000,secondary_language_share,0.038
PH061900000,secondary_language_share,0.029
PH063000000,secondary_language_share,0.204
PH067900000,secondary_language_share,0.07
PH071200000,secondary_language_share,0.264
PH072200000,secondary_language_share,0.117
PH076100000,secondary_language_share,0.053
PH082600000,secondary_language_share,0.004
PH083700000,secondary_language_share,0.446
PH084800000,secondary_language_share,0.026
PH086000000,secondary_language_share,0.037
PH086400000,secondary_language_share,0.022
PH087800000,secondary_language_share,0.38
PH097200000,secondary_language_share,0.102
PH097300000,secondary_language_share,0.202
PH098300000,secondary_language_share,0.112
PH099700000,secondary_language_share,0.288
PH101300000,secondary_language_share,0.322
PH101800000,secondary_language_share,0.222
PH103500000,secondary_language_share,0.259
PH104200000,secondary_language_share,0.141
PH104300000,secondary_language_share,0.079
PH112300000,secondary_language_share,0.149
PH112400000,secondary_language_share,0.153
PH112500000,secondary_language_share,0.224
PH118200000,secondary_language_share,0.196
PH118600000,secondary_language_share,0.153
PH124700000,secondary_language_share,0.22
PH126300000,secondary_language_share,0.276
PH126500000,secondary_language_share,0.241
PH128000000,secondary_language_share,0.219
PH129800000,secondary_language_share,0.129
PH133900000,secondary_language_share,0.013
PH137400000,secondary_language_share,0.013
PH137500000,secondary_language_share,0.013
PH137600000,secondary_language_share,0.013
PH140100000,secondary_language_share,0.133
PH141100000,secondary_language_share,0.232
PH142700000,secondary_language_share,0.21
PH143200000,secondary_language_share,0.407
PH144400000,secondary_language_share,0.177
PH148100000,secondary_language_share,0.29
PH150700000,secondary_language_share,0.211
PH153600000,secondary_language_share,0.027
PH153800000,secondary_language_share,0.171
PH156600000,secondary_language_share,0.073
PH157000000,secondary_language_share,0.375
PH160200000,secondary_language_share,0.104
PH160300000,secondary_language_share,0.177
PH166700000,secondary_language_share,0.389
PH166800000,secondary_language_share,0.285
PH168500000,secondary_language_share,0.219
PH174000000,secondary_language_share,0.001
PH175100000,secondary_language_share,0.093
PH175200000,secondary_language_share,0.069
PH175300000,secondary_language_share,0.164
PH175900000,secondary_language_share,0.245
PH184500000,secondary_language_share,0.08
PH184600000,secondary_language_share,0.15
PH012800000,tertiary_language,Isnag
PH012900000,tertiary_language,Kankanaey
PH013300000,tertiary_language,Kankanaey
PH015500000,tertiary_language,Tagalog
PH020900000,tertiary_language,Ilocano
PH021500000,tertiary_language,Ibanag
PH023100000,tertiary_language,Tagalog
PH025000000,tertiary_language,Tagalog
PH025700000,tertiary_language,Tagalog
PH030800000,tertiary_language,Bisaya/Binisaya
PH031400000,tertiary_language,Bikol
PH034900000,tertiary_language,Kapampangan
PH035400000,tertiary_language,Bisaya/Binisaya
PH036900000,tertiary_language,Tagalog
