Type of Wages,Type of Farm Workers,Geolocation,Gender,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,ADM1_CODE
Nominal Wage Rate,Coconut Workers,Autonomous Region in Muslim Mindanao (ARMM),Female,,,,,109.39,96.86,101.41,102.33,109.19,136.75,134.33,145.72,158.54,166.38,,160.0,178.16,176.51,178.6,,,,200.0,200.0,286.89,,PH150000000
Nominal Wage Rate,Coconut Workers,Autonomous Region in Muslim Mindanao (ARMM),Male,,,,105.21,105.82,113.35,127.12,129.74,155.93,156.04,159.96,162.82,166.01,167.85,175.59,175.7,178.33,178.4,188.51,202.18,202.34,218.71,224.87,245.2,342.48,349.0,PH150000000
Nominal Wage Rate,Coconut Workers,Cordillera Administrative Region (CAR),Female,,,,,,,,,,,,,,,,,,,,,,,,,,,PH140000000
Nominal Wage Rate,Coconut Workers,Cordillera Administrative Region (CAR),Male,,,,,,,,,,,,,,,,,,,,,,,,,,,PH140000000
Nominal Wage Rate,Coconut Workers,MIMAROPA Region,Female,,,,,,,,,125.22,134.48,149.71,145.39,156.26,175.13,181.36,182.41,203.98,200.34,205.22,225.0,227.85,230.32,233.65,227.9,250.76,412.1,PH170000000
Nominal Wage Rate,Coconut Workers,MIMAROPA Region,Male,,,,,,,,,146.47,150.12,155.43,167.75,171.49,179.75,192.52,203.82,208.39,208.73,221.98,244.44,256.93,258.45,260.39,289.14,308.95,416.62,PH170000000
Nominal Wage Rate,Coconut Workers,Region I (Ilocos Region),Female,90.8,94.35,,100.85,,,100.0,,,,,,,,,,,,,,,,,,,,PH010000000
Nominal Wage Rate,Coconut Workers,Region I (Ilocos Region),Male,100.86,105.94,116.54,124.0,130.0,152.86,167.41,168.38,172.68,162.76,164.16,180.17,185.55,185.79,214.57,215.13,217.73,221.4,254.15,328.73,329.36,336.18,337.58,274.69,267.49,345.88,PH010000000
Nominal Wage Rate,Coconut Workers,Region II (Cagayan Valley),Female,,,,,,,,,133.33,140.31,137.65,,,,182.22,,,,,210.67,223.53,,,,,,PH020000000
Nominal Wage Rate,Coconut Workers,Region II (Cagayan Valley),Male,,,,,80.81,100.47,125.86,130.27,147.79,149.47,156.36,172.33,175.79,191.84,192.28,193.6,199.2,201.66,233.29,274.6,278.56,280.69,281.95,386.4,389.76,443.33,PH020000000
Nominal Wage Rate,Coconut Workers,Region III (Central Luzon),Female,,,,,,,,,,,,169.49,,,,,,,,,,,320.0,,,333.33,PH030000000
Nominal Wage Rate,Coconut Workers,Region III (Central Luzon),Male,95.9,105.33,123.88,150.0,153.64,163.5,162.0,148.57,166.64,198.75,201.5,222.72,224.62,242.37,266.4,266.6,266.62,267.99,301.4,310.22,324.55,345.25,349.33,320.53,317.27,357.79,PH030000000
Nominal Wage Rate,Coconut Workers,Region IV-A (CALABARZON),Female,86.24,88.53,95.07,98.06,105.39,125.9,136.89,128.23,,,187.91,,,,,187.32,,242.42,246.19,300.0,,,,,,388.24,PH040000000
Nominal Wage Rate,Coconut Workers,Region IV-A (CALABARZON),Male,95.27,98.53,102.62,116.7,125.24,157.43,137.12,167.16,177.56,192.38,196.21,202.35,203.92,237.08,243.97,254.57,262.19,267.92,276.46,307.43,308.58,319.75,320.8,369.99,372.18,391.18,PH040000000
Nominal Wage Rate,Coconut Workers,Region IX (Zamboanga Peninsula),Female,,,,,94.05,,,102.86,,140.85,131.74,147.67,152.43,157.69,158.72,159.71,168.63,172.78,176.12,200.0,225.88,230.52,230.36,218.63,212.5,263.05,PH090000000
Nominal Wage Rate,Coconut Workers,Region IX (Zamboanga Peninsula),Male,84.58,89.23,97.31,114.82,118.33,136.53,143.93,144.0,133.74,137.58,139.01,151.27,156.04,158.04,159.64,160.6,168.66,173.11,186.37,224.77,232.54,234.5,236.22,242.8,261.08,280.99,PH090000000
Nominal Wage Rate,Coconut Workers,Region V (Bicol Region),Female,79.02,83.5,74.0,85.91,80.0,80.0,90.91,86.61,100.0,105.65,98.81,,,,,,172.0,,,192.0,,,206.52,276.47,275.57,337.79,PH050000000
Nominal Wage Rate,Coconut Workers,Region V (Bicol Region),Male,85.35,96.1,87.21,103.75,114.65,120.58,115.34,131.2,137.89,131.7,134.65,143.22,145.54,151.93,161.59,161.88,172.74,179.8,197.0,197.22,208.11,224.47,267.7,263.9,353.77,355.21,PH050000000
Nominal Wage Rate,Coconut Workers,Region VI (Western Visayas),Female,74.64,79.31,69.09,84.2,63.4,70.0,81.43,87.53,108.19,91.58,93.94,102.74,114.74,140.89,158.5,159.41,171.11,169.94,172.14,176.97,206.06,230.0,,279.28,327.11,368.51,PH060000000
Nominal Wage Rate,Coconut Workers,Region VI (Western Visayas),Male,77.01,82.55,72.49,98.02,100.03,98.75,102.96,102.98,112.55,125.11,127.85,135.06,140.65,157.61,169.16,170.03,173.69,173.77,188.95,192.89,212.36,226.84,228.99,288.24,305.16,329.44,PH060000000
Nominal Wage Rate,Coconut Workers,Region VII (Central Visayas),Female,69.32,73.45,,85.52,99.06,85.0,99.72,85.09,104.45,106.88,95.96,104.08,120.05,144.17,148.73,154.27,164.94,169.88,,197.01,219.26,236.36,,205.68,211.9,289.47,PH070000000
Nominal Wage Rate,Coconut Workers,Region VII (Central Visayas),Male,76.71,82.29,83.06,120.22,118.06,118.8,121.29,125.26,127.09,129.49,132.25,133.71,140.82,158.65,160.84,163.79,167.41,179.63,180.35,222.48,234.02,236.39,238.63,250.35,279.97,290.15,PH070000000
Nominal Wage Rate,Coconut Workers,Region VIII (Eastern Visayas),Female,,70.85,,,,,,,,,94.71,106.93,117.14,,,,,166.67,169.01,201.68,233.75,,,,256.0,306.43,PH080000000
Nominal Wage Rate,Coconut Workers,Region VIII (Eastern Visayas),Male,78.6,87.36,90.5,118.49,107.98,116.79,117.98,118.4,119.53,124.63,133.66,140.21,142.9,164.73,167.1,167.39,177.47,184.24,198.61,212.47,235.16,238.32,240.31,251.2,261.14,307.78,PH080000000
Nominal Wage Rate,Coconut Workers,Region X (Northern Mindanao),Female,78.42,80.97,88.28,87.95,,,,100.0,110.03,110.58,123.61,141.18,151.55,163.64,164.53,164.84,187.56,189.05,192.0,195.67,218.52,240.0,240.59,227.82,255.32,292.2,PH100000000
Nominal Wage Rate,Coconut Workers,Region X (Northern Mindanao),Male,88.76,96.03,117.49,109.37,111.73,115.25,124.57,125.06,127.22,132.82,150.35,163.38,165.11,174.4,190.14,196.98,198.52,205.3,210.26,238.4,243.61,247.92,248.35,266.14,292.17,293.93,PH100000000
Nominal Wage Rate,Coconut Workers,Region XI (Davao Region),Female,,76.18,78.72,81.71,86.09,82.6,95.05,96.46,108.87,120.09,128.26,131.91,141.67,146.47,150.0,150.62,161.59,175.17,176.68,222.37,229.2,236.71,248.34,264.27,372.76,420.56,PH110000000
Nominal Wage Rate,Coconut Workers,Region XI (Davao Region),Male,79.51,86.42,101.21,118.01,108.02,126.15,130.82,130.93,140.79,132.58,135.71,142.36,151.5,154.38,160.0,161.82,162.76,176.12,194.1,250.88,251.14,263.96,265.23,263.37,298.93,336.3,PH110000000
Nominal Wage Rate,Coconut Workers,Region XII (SOCCSKSARGEN),Female,85.98,87.32,97.96,98.26,90.0,88.57,96.78,95.13,121.34,129.19,139.74,150.68,160.61,173.83,178.53,179.13,182.87,185.93,189.19,200.0,217.58,232.57,232.61,254.55,255.22,286.95,PH120000000
Nominal Wage Rate,Coconut Workers,Region XII (SOCCSKSARGEN),Male,85.89,95.32,93.04,127.77,127.8,130.1,109.35,113.01,168.89,147.59,157.6,167.6,169.54,175.05,182.38,182.78,188.16,194.85,202.15,203.26,207.5,213.77,214.83,257.9,262.15,280.83,PH120000000
Nominal Wage Rate,Coconut Workers,Region XIII (Caraga),Female,,,,,,,,,,,168.82,,,,,,,,208.51,253.64,269.5,280.0,282.86,228.57,270.0,369.91,PH160000000
Nominal Wage Rate,Coconut Workers,Region XIII (Caraga),Male,81.93,85.93,109.36,115.34,123.16,143.27,150.34,157.04,164.25,170.27,172.4,179.33,182.59,205.49,211.71,212.7,212.92,224.42,242.85,257.62,278.61,297.86,308.01,363.06,374.47,374.73,PH160000000
Nominal Wage Rate,Corn Workers,Autonomous Region in Muslim Mindanao (ARMM),Female,75.83,92.47,86.32,106.25,117.91,139.48,112.07,113.69,109.47,123.01,145.0,155.0,158.24,160.54,172.82,190.18,194.12,203.48,206.03,215.22,224.25,237.99,237.42,240.81,232.52,248.95,PH150000000
Nominal Wage Rate,Corn Workers,Autonomous Region in Muslim Mindanao (ARMM),Male,75.46,95.56,106.7,118.52,124.21,147.65,138.1,139.08,135.42,138.45,156.56,163.54,165.42,165.92,176.5,187.73,190.5,205.98,209.09,224.78,241.05,256.92,249.72,230.64,240.83,243.86,PH150000000
Nominal Wage Rate,Corn Workers,Cordillera Administrative Region (CAR),Female,72.44,83.42,99.0,111.27,116.25,119.59,120.85,116.69,126.0,139.74,143.36,146.25,154.89,170.2,191.75,214.62,218.27,228.13,242.24,247.98,260.03,273.98,266.25,225.59,244.61,256.1,PH140000000
Nominal Wage Rate,Corn Workers,Cordillera Administrative Region (CAR),Male,83.46,90.55,103.24,117.23,126.63,144.87,145.64,143.21,165.21,156.62,156.37,173.69,177.12,182.68,203.52,219.71,225.12,233.23,246.75,252.84,284.56,304.41,285.0,251.16,284.49,294.84,PH140000000
Nominal Wage Rate,Corn Workers,MIMAROPA Region,Female,,,,,,,,,95.15,105.27,112.97,121.78,130.49,154.31,173.5,184.46,199.18,205.37,199.03,199.29,226.31,230.21,237.08,229.5,245.29,274.23,PH170000000
Nominal Wage Rate,Corn Workers,MIMAROPA Region,Male,,,,,,,,,103.65,121.64,141.42,156.25,162.05,165.27,180.45,196.5,207.22,215.81,219.56,242.58,247.0,259.72,262.23,235.17,254.58,305.15,PH170000000
Nominal Wage Rate,Corn Workers,Region I (Ilocos Region),Female,75.82,81.98,94.49,96.89,102.98,125.04,125.19,122.66,117.14,122.16,134.04,141.79,153.14,164.85,186.32,197.05,197.35,214.11,213.75,240.08,244.33,253.95,268.23,240.79,257.75,299.44,PH010000000
Nominal Wage Rate,Corn Workers,Region I (Ilocos Region),Male,82.2,95.84,104.99,108.98,114.48,134.18,132.42,133.39,128.75,136.81,146.24,162.25,166.32,175.17,189.46,204.47,219.52,226.0,227.33,262.44,273.85,279.65,281.32,291.95,307.22,317.44,PH010000000
Nominal Wage Rate,Corn Workers,Region II (Cagayan Valley),Female,64.91,73.69,82.45,77.52,82.09,99.28,108.8,107.51,105.0,117.32,128.01,132.88,146.84,157.62,185.11,186.36,195.42,211.16,221.38,240.45,272.34,279.01,280.67,204.33,250.0,300.22,PH020000000
Nominal Wage Rate,Corn Workers,Region II (Cagayan Valley),Male,87.29,93.69,93.81,101.65,97.42,122.53,121.22,125.09,118.37,132.75,139.39,147.2,154.52,162.27,187.29,189.99,198.53,218.61,223.69,258.69,276.59,288.54,283.46,229.28,262.86,317.68,PH020000000
Nominal Wage Rate,Corn Workers,Region III (Central Luzon),Female,70.93,75.28,69.0,80.84,95.02,102.5,109.29,118.71,112.95,134.58,147.6,168.98,191.15,206.87,219.85,235.59,242.5,,,,,230.32,283.36,300.08,288.03,305.65,PH030000000
Nominal Wage Rate,Corn Workers,Region III (Central Luzon),Male,92.73,102.77,102.63,133.43,147.95,157.84,145.64,147.3,164.07,161.31,170.3,177.39,189.0,206.38,229.03,231.96,237.61,254.62,276.4,325.87,341.87,373.75,306.41,321.01,316.66,350.94,PH030000000
Nominal Wage Rate,Corn Workers,Region IV-A (CALABARZON),Female,77.3,83.5,94.75,109.17,117.69,119.08,121.12,115.12,100.06,,119.96,,153.85,,179.62,216.5,201.84,215.0,,225.94,258.13,264.81,292.18,318.42,361.63,384.55,PH040000000
Nominal Wage Rate,Corn Workers,Region IV-A (CALABARZON),Male,95.99,109.24,126.65,130.59,133.79,134.22,133.66,134.5,144.62,147.81,170.3,176.11,182.02,184.53,198.03,213.72,215.79,230.74,231.19,252.82,292.92,301.17,302.36,330.01,357.54,391.97,PH040000000
Nominal Wage Rate,Corn Workers,Region IX (Zamboanga Peninsula),Female,67.94,75.28,85.77,82.79,97.75,90.81,90.01,90.75,91.7,103.39,116.91,124.26,135.62,144.73,148.8,151.3,157.46,168.16,174.46,184.71,187.95,207.56,209.91,210.78,220.55,239.13,PH090000000
Nominal Wage Rate,Corn Workers,Region IX (Zamboanga Peninsula),Male,74.97,81.83,82.87,89.59,96.75,121.22,118.39,119.08,113.88,115.44,127.65,134.16,139.58,146.16,150.99,152.56,155.56,173.87,181.93,198.46,213.03,219.05,220.96,213.96,247.59,253.46,PH090000000
Nominal Wage Rate,Corn Workers,Region V (Bicol Region),Female,60.18,67.87,75.42,77.78,81.3,89.23,89.6,90.16,82.58,96.85,101.95,116.36,131.13,136.8,151.55,156.16,156.61,166.95,169.49,195.89,210.98,218.7,234.99,227.8,249.44,260.21,PH050000000
Nominal Wage Rate,Corn Workers,Region V (Bicol Region),Male,72.01,79.54,87.0,85.72,90.17,118.29,115.89,118.48,116.19,117.36,118.88,126.73,138.14,141.96,153.22,157.63,160.35,172.87,175.47,207.99,217.93,233.59,248.77,249.73,276.79,301.38,PH050000000
Nominal Wage Rate,Corn Workers,Region VI (Western Visayas),Female,55.0,66.89,73.52,76.77,78.76,86.8,91.73,88.52,95.02,104.72,110.58,125.74,138.27,151.36,164.87,169.76,175.48,179.94,181.83,196.21,204.81,210.02,225.98,222.87,236.2,263.6,PH060000000
Nominal Wage Rate,Corn Workers,Region VI (Western Visayas),Male,69.75,84.99,91.32,95.26,92.4,108.92,106.49,110.48,116.52,124.62,130.13,140.12,150.95,158.08,169.07,171.0,172.4,182.75,184.5,203.97,215.49,219.75,221.93,270.8,277.17,280.14,PH060000000
Nominal Wage Rate,Corn Workers,Region VII (Central Visayas),Female,59.58,67.81,81.33,85.04,81.44,87.35,87.24,87.4,85.54,91.44,108.53,125.82,131.15,138.79,143.75,147.79,150.13,160.53,165.74,173.03,189.96,195.45,203.41,225.86,228.02,242.16,PH070000000
Nominal Wage Rate,Corn Workers,Region VII (Central Visayas),Male,64.8,77.07,75.53,78.29,84.46,95.96,99.21,99.91,102.25,107.17,118.73,127.7,138.87,141.25,147.68,150.39,155.98,170.02,175.05,177.82,191.17,211.59,219.52,228.49,261.89,271.37,PH070000000
Nominal Wage Rate,Corn Workers,Region VIII (Eastern Visayas),Female,60.38,69.65,72.46,77.62,75.87,82.01,90.92,90.05,89.63,90.03,99.98,113.97,123.79,131.78,139.92,143.08,147.88,159.29,160.73,167.13,183.18,214.82,223.65,217.0,264.15,274.85,PH080000000
Nominal Wage Rate,Corn Workers,Region VIII (Eastern Visayas),Male,65.99,72.95,81.72,85.03,94.82,95.13,96.76,100.69,96.39,102.98,123.18,129.97,135.5,136.22,141.69,144.27,149.6,164.99,167.56,181.37,192.84,247.76,244.07,224.36,233.92,282.61,PH080000000
Nominal Wage Rate,Corn Workers,Region X (Northern Mindanao),Female,77.37,85.84,84.62,85.94,95.34,105.08,103.9,100.75,106.93,114.54,123.03,142.07,144.01,150.98,164.69,165.47,165.99,177.47,180.35,186.62,192.15,196.23,200.92,230.95,223.16,252.37,PH100000000
Nominal Wage Rate,Corn Workers,Region X (Northern Mindanao),Male,81.01,89.82,95.27,102.45,104.41,120.51,118.39,117.81,117.63,121.14,129.59,139.17,146.71,153.36,170.71,173.51,174.29,183.09,184.95,191.77,196.59,200.89,203.07,219.54,224.82,252.76,PH100000000
Nominal Wage Rate,Corn Workers,Region XI (Davao Region),Female,71.96,82.09,78.14,84.71,82.66,95.4,88.78,90.74,95.42,104.02,122.18,130.9,137.2,142.83,152.58,152.99,154.8,165.74,168.84,167.38,181.08,184.16,198.02,247.71,257.65,293.82,PH110000000
Nominal Wage Rate,Corn Workers,Region XI (Davao Region),Male,75.21,88.78,81.97,84.62,91.62,114.17,108.96,108.15,109.53,112.36,125.76,136.65,141.6,143.36,155.17,155.99,160.55,170.87,176.42,179.26,189.98,199.46,206.82,243.84,257.89,296.38,PH110000000
Nominal Wage Rate,Corn Workers,Region XII (SOCCSKSARGEN),Female,77.28,83.35,72.45,88.14,87.14,108.52,99.4,100.53,107.33,112.84,117.9,129.6,135.04,136.72,145.59,151.51,156.87,167.47,174.6,195.94,206.68,217.43,217.58,207.26,227.81,240.87,PH120000000
Nominal Wage Rate,Corn Workers,Region XII (SOCCSKSARGEN),Male,91.19,111.48,105.89,107.78,116.95,134.48,123.81,124.23,133.78,127.05,133.17,138.7,141.42,142.0,150.5,154.14,159.77,175.64,179.39,193.08,213.7,218.78,223.13,217.03,239.69,260.18,PH120000000
Nominal Wage Rate,Corn Workers,Region XIII (Caraga),Female,67.56,82.51,84.7,89.14,95.05,115.16,111.05,113.1,117.24,122.67,135.04,145.51,148.34,149.21,165.4,169.49,181.69,188.52,203.88,219.12,242.09,258.79,246.32,249.43,281.59,306.53,PH160000000
Nominal Wage Rate,Corn Workers,Region XIII (Caraga),Male,77.78,91.85,93.66,90.69,108.39,118.27,128.44,130.45,139.96,138.76,148.71,154.81,156.61,157.41,173.61,176.98,186.52,193.79,207.88,233.93,259.54,271.45,266.63,254.97,299.81,307.2,PH160000000
Nominal Wage Rate,Palay Workers,Autonomous Region in Muslim Mindanao (ARMM),Female,78.33,96.72,111.3,113.93,108.68,117.15,117.99,121.85,124.72,136.93,151.16,159.79,164.82,176.65,197.53,206.2,217.31,238.98,245.14,254.19,272.01,283.31,298.21,289.64,268.7,301.78,PH150000000
Nominal Wage Rate,Palay Workers,Autonomous Region in Muslim Mindanao (ARMM),Male,82.67,103.4,119.73,122.69,136.51,139.14,131.1,132.97,142.9,152.59,166.18,176.82,182.8,177.11,199.79,207.98,219.19,241.07,249.46,256.43,273.54,289.04,293.5,260.68,264.12,270.46,PH150000000
Nominal Wage Rate,Palay Workers,Cordillera Administrative Region (CAR),Female,80.37,92.73,110.38,111.24,118.9,122.32,129.59,137.3,139.66,144.93,145.25,156.17,157.47,166.51,195.27,199.87,203.0,217.12,220.74,249.44,263.49,268.9,272.14,263.26,290.08,297.57,PH140000000
Nominal Wage Rate,Palay Workers,Cordillera Administrative Region (CAR),Male,92.74,112.11,123.9,125.75,154.49,156.94,175.02,173.31,172.95,163.04,168.03,176.02,176.72,176.61,201.66,211.95,214.04,223.91,233.97,263.13,278.36,284.22,292.13,277.42,309.87,317.54,PH140000000
Nominal Wage Rate,Palay Workers,MIMAROPA Region,Female,,,,,,,,,139.31,148.27,145.28,152.06,166.94,187.82,206.81,213.53,224.25,229.81,233.9,245.82,260.52,266.68,267.7,249.67,262.87,307.46,PH170000000
Nominal Wage Rate,Palay Workers,MIMAROPA Region,Male,,,,,,,,,159.84,156.75,156.58,166.68,188.64,194.2,225.26,235.12,253.84,259.91,262.96,278.71,293.65,300.3,304.69,321.84,409.86,422.93,PH170000000
Nominal Wage Rate,Palay Workers,Region I (Ilocos Region),Female,85.79,103.16,119.29,124.72,126.64,135.92,144.98,144.92,150.99,154.99,164.0,162.27,178.28,190.56,227.3,237.35,247.57,249.39,272.62,282.54,300.93,323.73,330.14,313.04,339.53,348.62,PH010000000
Nominal Wage Rate,Palay Workers,Region I (Ilocos Region),Male,94.88,110.85,130.72,133.22,148.83,164.3,168.72,169.54,170.02,175.25,180.26,189.31,192.89,212.14,246.99,255.46,265.96,278.98,293.13,301.94,324.79,342.57,341.51,316.92,362.29,368.53,PH010000000
Nominal Wage Rate,Palay Workers,Region II (Cagayan Valley),Female,83.11,90.21,96.89,105.53,117.18,119.99,123.26,132.36,138.96,136.25,143.11,157.42,176.71,189.27,220.36,226.03,226.97,249.65,278.34,290.31,331.13,350.79,366.1,311.13,311.75,367.6,PH020000000
Nominal Wage Rate,Palay Workers,Region II (Cagayan Valley),Male,96.12,106.53,114.26,123.53,136.6,147.98,152.06,151.63,154.3,158.01,166.61,172.39,178.81,193.91,228.71,232.03,233.34,256.85,282.41,319.16,361.31,389.37,403.28,326.71,321.77,384.42,PH020000000
Nominal Wage Rate,Palay Workers,Region III (Central Luzon),Female,84.82,100.74,111.4,123.72,150.42,152.47,159.57,159.0,170.07,169.39,163.92,181.62,187.24,205.35,226.89,238.99,243.51,257.23,263.88,316.14,332.32,367.35,365.94,317.67,304.89,352.8,PH030000000
Nominal Wage Rate,Palay Workers,Region III (Central Luzon),Male,100.18,119.1,142.61,172.37,186.8,200.32,201.36,208.75,200.17,203.29,211.76,225.22,228.55,241.81,264.13,280.37,294.23,302.7,315.69,357.45,375.26,386.9,395.09,370.82,352.4,353.45,PH030000000
Nominal Wage Rate,Palay Workers,Region IV-A (CALABARZON),Female,85.84,99.35,105.03,135.22,142.11,141.59,142.9,145.9,158.47,161.57,178.21,179.72,193.63,222.5,243.55,254.0,258.34,277.71,299.31,309.22,326.66,336.54,337.75,361.36,397.04,410.2,PH040000000
Nominal Wage Rate,Palay Workers,Region IV-A (CALABARZON),Male,104.25,116.11,128.89,156.24,158.34,160.26,171.99,173.02,171.66,177.54,194.84,197.81,208.28,228.09,255.96,264.49,288.4,297.21,304.79,311.09,328.8,340.06,341.85,392.94,396.36,423.69,PH040000000
Nominal Wage Rate,Palay Workers,Region IX (Zamboanga Peninsula),Female,77.94,87.23,96.04,112.95,116.71,118.84,113.0,118.62,124.17,122.38,125.11,133.72,148.13,166.8,178.94,191.86,198.39,218.06,229.7,235.05,246.14,263.25,264.76,273.63,293.35,300.41,PH090000000
Nominal Wage Rate,Palay Workers,Region IX (Zamboanga Peninsula),Male,78.89,88.46,94.77,104.75,110.08,122.0,120.32,124.49,130.69,134.71,134.64,143.82,155.18,170.37,184.42,195.46,203.67,221.8,235.43,242.53,254.16,273.06,275.28,271.78,300.65,334.05,PH090000000
Nominal Wage Rate,Palay Workers,Region V (Bicol Region),Female,62.83,71.49,90.43,105.57,107.84,103.69,111.01,117.66,121.09,129.25,129.38,133.97,151.86,161.25,193.39,198.53,201.26,212.22,220.72,232.99,245.49,252.97,253.56,259.57,289.66,305.15,PH050000000
