"Table 3. Annual Per Capita Food Threshold and Subsistence Incidence Among Families with Measures of Precision, by Region and Province:  2015, 2018, and 2021p"

"Geolocation";"Annual Per Capita Food Threshold (in PhP) 2015";"Annual Per Capita Food Threshold (in PhP) 2018";"Annual Per Capita Food Threshold (in PhP) 2021p";"Subsistence Incidence among Families (%) 2015";"Subsistence Incidence among Families (%) 2018";"Subsistence Incidence among Families (%) 2021p";"Coefficient of Variation 2015";"Coefficient of Variation 2018";"Coefficient of Variation 2021p";"Standard Error 2015";"Standard Error 2018";"Standard Error 2021p";"90% Confidence Interval (Lower Limit) 2015";"90% Confidence Interval (Lower Limit) 2018";"90% Confidence Interval (Lower Limit) 2021p";"90% Confidence Interval (Upper Limit) 2015";"90% Confidence Interval (Upper Limit) 2018";"90% Confidence Interval (Upper Limit) 2021p"
"....1st District 2/, b/, c/";17589;20029;23028;0.9;0.5;0.0;49.6;40.8;..;0.4;0.2;..;0.2;0.2;..;1.6;0.8;..
"....2nd District b/, c/, d/";17589;20029;23028;0.1;0.2;0.3;23.0;49.1;39.3;0.0;0.1;0.1;0.1;0.0;0.1;0.2;0.3;0.4
"....3rd District b/, c/, d/";17589;20029;23028;0.5;0.5;0.2;52.6;37.6;42.4;0.3;0.2;0.1;0.1;0.2;0.1;1.0;0.8;0.4
"....4th District 1/, 2/, b/, c/";17589;20029;23028;0.5;0.0;0.4;46.5;51.9;19.4;0.2;0.0;0.1;0.1;0.0;0.3;0.8;0.1;0.5
"....Abra b/, d/";14870;16488;20475;5.3;4.4;3.4;30.6;15.6;20.5;1.6;0.7;0.7;2.6;3.2;2.3;7.9;5.5;4.6
"....Apayao 2/, b/, d/";16278;16155;17942;11.7;4.2;0.8;52.0;18.3;43.6;6.1;0.8;0.4;1.7;2.9;0.2;21.6;5.5;1.4
"....Benguet 1/, b/, c/, d/";15707;16877;19049;0.3;1.2;0.7;56.7;24.2;23.9;0.2;0.3;0.2;0.0;0.7;0.4;0.7;1.7;1.0
"....Ifugao 1/, b/, c/, d/";17550;18447;20504;15.4;1.1;1.1;33.1;40.1;32.6;5.1;0.4;0.4;7.0;0.4;0.5;23.9;1.8;1.7
"....Kalinga 1/, b/, c/, d/";14824;16923;18220;11.8;1.5;1.1;30.6;29.7;33.1;3.6;0.5;0.4;5.9;0.8;0.5;17.8;2.3;1.7
"....Mt. Province 1/, 2/, b/";17095;19466;21774;11.5;5.6;3.4;25.1;17.1;18.0;2.9;0.9;0.6;6.7;4.0;2.4;16.2;7.1;4.4
"....Ilocos Norte b/, c/";16414;18623;22128;0.3;0.1;0.0;98.9;100.1;..;0.3;0.1;..;0.0;0.0;..;0.9;0.2;0.0
"....Ilocos Sur 1/, 2/, b/, c/";16449;17240;22852;1.9;0.6;3.4;37.1;37.6;19.5;0.7;0.2;0.7;0.7;0.2;2.3;3.1;1.0;4.4
"....La Union 1/, 2/, b/, c/, d/";15282;15651;19547;5.7;0.2;1.0;31.7;58.6;25.8;1.8;0.1;0.3;2.7;0.0;0.6;8.7;0.4;1.5
"....Pangasinan 1/, 2/, c/";15892;19396;21848;3.8;1.5;3.8;18.7;25.9;15.4;0.7;0.4;0.6;2.6;0.9;2.8;4.9;2.2;4.7
"....Batanes 1/, 2/, a/, c/, d/";21942;26184;25263;0.0;1.3;0.2;..;30.2;98.3;..;0.4;0.2;..;0.7;0.0;0.0;2.0;0.4
"....Cagayan 2/, b/, d/";14969;17322;19289;2.9;3.0;1.2;24.4;17.4;29.7;0.7;0.5;0.4;1.8;2.2;0.6;4.1;3.9;1.8
"....Isabela";16292;17791;20516;1.5;3.0;4.0;24.2;20.0;19.1;0.4;0.6;0.8;0.9;2.0;2.7;2.1;4.0;5.2
"....Nueva Vizcaya b/, c/, d/";16464;17353;17809;3.2;3.4;2.9;43.6;23.9;30.7;1.4;0.8;0.9;0.9;2.0;1.4;5.4;4.7;4.4
"....Quirino b/, c/, d/";15085;16408;19470;4.7;1.5;0.9;42.5;29.5;28.7;2.0;0.4;0.2;1.4;0.8;0.5;8.0;2.2;1.3
"....Aurora 1/, 2/, a/, c/";15827;17552;20417;11.7;2.5;4.8;7.8;23.2;20.0;0.9;0.6;1.0;10.2;1.5;3.2;13.2;3.5;6.3
"....Bataan 1/, c/, d/";15703;20705;21528;0.0;1.4;1.9;..;24.7;26.1;..;0.3;0.5;..;0.8;1.1;0.0;2.0;2.7
"....Bulacan 2/, b/, c/, d/";14797;18921;24275;0.7;0.6;1.6;36.7;32.0;31.9;0.3;0.2;0.5;0.3;0.3;0.7;1.1;1.0;2.4
"....Nueva Ecija 1/, b/, c/, d/";16071;17737;20363;3.9;0.8;1.6;29.8;29.5;24.6;1.2;0.2;0.4;2.0;0.4;0.9;5.8;1.3;2.2
"....Pampanga b/, c/, d/";15526;18355;23795;0.1;0.2;0.4;99.3;77.5;35.8;0.1;0.1;0.1;0.0;0.0;0.2;0.3;0.4;0.6
"....Tarlac 1/, b/, c/, d/";15550;17729;20649;3.4;1.3;1.6;24.9;24.7;21.1;0.9;0.3;0.3;2.0;0.8;1.0;4.8;1.9;2.2
"....Zambales b/";18759;20888;23960;3.9;3.4;4.5;37.5;19.9;14.1;1.4;0.7;0.6;1.5;2.3;3.4;6.2;4.6;5.5
"....Batangas 1/,  c/, d/";20996;23245;21395;5.8;1.1;0.6;20.0;26.4;34.8;1.1;0.3;0.2;3.9;0.6;0.3;7.6;1.6;1.0
"....Cavite b/, c/, d/";19202;20392;24884;1.5;0.9;1.5;32.2;33.2;31.6;0.5;0.3;0.5;0.7;0.4;0.7;2.3;1.4;2.3
"....Laguna 2/, b/, c/, d/";14823;16894;20669;0.8;0.2;1.5;42.5;59.0;24.3;0.3;0.1;0.4;0.2;0.0;0.9;1.3;0.4;2.1
"....Quezon 1/, 2/, b/, c/";14593;15914;18945;5.4;2.6;4.7;24.7;22.8;17.3;1.3;0.6;0.8;3.2;1.6;3.4;7.5;3.5;6.0
"....Rizal b/, c/, d/";17676;20004;21902;0.7;0.7;0.6;41.2;37.2;34.2;0.3;0.3;0.2;0.2;0.3;0.2;1.3;1.2;0.9
"Marinduque b/, c/";13932;16788;19392;1.9;2.6;3.1;49.2;21.6;19.0;0.9;0.6;0.6;0.4;1.7;2.1;3.5;3.5;4.0
"....Occidental Mindoro 1/, 2/, b/, c/";13951;14923;18609;15.8;5.2;9.5;23.7;24.2;14.7;3.8;1.3;1.4;9.7;3.2;7.2;22.0;7.3;11.8
"....Oriental Mindoro 1/, 2/, b/, c/, d/";14193;16922;18371;6.8;1.9;5.4;37.1;31.4;20.4;2.5;0.6;1.1;2.6;0.9;3.6;10.9;2.9;7.2
"....Palawan b/, c/, d/";13740;16308;16788;2.2;1.8;2.0;38.7;29.1;26.3;0.9;0.5;0.5;0.8;0.9;1.1;3.6;2.7;2.9
"....Romblon 2/, b/";15253;16794;20122;6.3;5.0;9.6;23.0;16.8;12.1;1.4;0.8;1.2;3.9;3.6;7.7;8.6;6.4;11.5
"....Albay 1/";15618;17391;19083;6.6;3.2;4.0;18.9;18.4;18.6;1.3;0.6;0.7;4.6;2.2;2.8;8.7;4.2;5.2
"....Camarines Norte 1/, b/";16702;17512;19217;12.2;5.2;3.7;26.6;15.6;16.1;3.2;0.8;0.6;6.8;3.9;2.7;17.5;6.6;4.7
"....Camarines Sur 2/, b/";15984;16926;19998;7.4;5.3;10.5;21.9;15.9;11.5;1.6;0.8;1.2;4.7;3.9;8.5;10.1;6.6;12.5
"....Catanduanes 1/, b/";15131;17035;19569;13.0;3.5;4.1;32.2;17.3;15.8;4.2;0.6;0.7;6.1;2.5;3.1;19.9;4.5;5.2
"....Masbate 1/, b/";14250;15985;17828;10.8;5.3;5.9;21.4;15.4;15.9;2.3;0.8;0.9;7.0;4.0;4.4;14.5;6.6;7.5
"....Sorsogon 1/";16245;18172;18931;16.3;4.4;5.4;18.9;15.0;14.8;3.1;0.7;0.8;11.2;3.4;4.1;21.4;5.5;6.7
"....Aklan 2/, b/, c/";15491;16539;18752;0.6;1.1;4.1;94.6;37.2;15.9;0.5;0.4;0.6;0.0;0.4;3.0;1.4;1.7;5.1
"....Antique 2/, b/";14432;16820;18604;4.5;3.1;5.8;57.2;16.9;17.5;2.6;0.5;1.0;0.3;2.2;4.1;8.8;3.9;7.4
"....Capiz 2/, b/, c/, d/";14455;15798;18747;1.3;0.2;0.8;78.0;58.0;30.2;1.0;0.1;0.2;0.0;0.0;0.4;3.0;0.4;1.2
"....Guimaras 1/, a/, c/, d/";16289;18054;19431;0.0;0.8;0.8;..;54.0;39.1;..;0.4;0.3;..;0.1;0.3;..;1.4;1.3
"....Iloilo 1/, 2/, c/";15963;18203;19443;5.7;2.2;4.0;19.8;25.1;18.0;1.1;0.6;0.7;3.8;1.3;2.8;7.5;3.1;5.2
"....Negros Occidental 1/, b/, c/";15025;16541;18685;7.7;4.0;3.7;20.3;21.6;15.0;1.6;0.9;0.6;5.1;2.6;2.8;10.2;5.5;4.7
"....Bohol 1/, 2/";15769;18245;18743;10.5;2.9;6.2;17.5;19.0;12.6;1.8;0.6;0.8;7.5;2.0;4.9;13.5;3.8;7.5
"....Cebu 1/, 2/, c/";16083;17959;23400;8.2;2.5;8.6;12.7;22.4;11.4;1.0;0.6;1.0;6.5;1.6;7.0;9.9;3.4;10.2
"....Negros Oriental 1/";15400;17548;18184;16.6;7.2;8.0;15.7;16.4;16.3;2.6;1.2;1.3;12.3;5.3;5.9;21.0;9.2;10.2
"....Siquijor 1/, 2/, a/, b/, c/";15145;17895;17847;20.6;1.9;0.0;27.8;33.0;..;5.7;0.6;..;11.2;0.9;..;30.0;2.9;0.0
"....Biliran 1/, 2/, c/";14924;16868;20331;5.3;2.2;6.6;19.1;22.4;13.2;1.0;0.5;0.9;3.6;1.4;5.2;7.0;3.1;8.1
"....Eastern Samar 2/, b/";17708;20299;20192;23.6;16.5;12.1;26.9;8.2;10.8;6.3;1.4;1.3;13.1;14.2;9.9;34.0;18.7;14.2
"....Leyte";14954;16456;18538;7.5;5.9;6.8;14.8;13.7;13.9;1.1;0.8;0.9;5.7;4.6;5.3;9.3;7.2;8.4
"....Northern Samar 1/, 2/";15883;18090;18569;29.6;7.2;3.7;17.4;12.9;14.7;5.2;0.9;0.5;21.1;5.6;2.8;38.2;8.7;4.6
"....Southern Leyte 1/, b/";16731;17984;20114;14.8;3.7;3.9;27.1;14.5;15.4;4.0;0.5;0.6;8.2;2.8;2.9;21.4;4.6;4.9
"....Samar 1/, b/";14878;16131;17620;18.0;6.7;9.3;25.5;16.4;13.2;4.6;1.1;1.2;10.4;4.9;7.2;25.5;8.5;11.3
"....Zamboanga del Norte 1/";16964;19857;23572;24.9;16.1;18.5;12.8;10.6;9.5;3.2;1.7;1.8;19.6;13.3;15.6;30.1;18.9;21.4
"....Zamboanga del Sur b/";14173;16608;16731;5.7;4.5;4.0;21.6;15.8;15.4;1.2;0.7;0.6;3.7;3.4;3.0;7.8;5.7;5.0
"....Zamboanga Sibugay 1/, b/";14869;16088;17260;4.5;8.2;8.3;35.8;14.5;11.6;1.6;1.2;1.0;1.8;6.2;6.7;7.1;10.1;9.9
"....Isabela City 1/, 2/, a/, b/, d/";15899;18067;16723;5.4;13.1;2.3;28.1;18.1;25.5;1.5;2.4;0.6;2.9;9.2;1.3;7.8;17.0;3.3
"....Bukidnon 1/, 2/";16730;17874;20359;27.0;5.6;8.3;12.1;13.2;16.8;3.3;0.7;1.4;21.6;4.4;6.0;32.4;6.8;10.6
"....Camiguin a/, b/, c/";16631;18151;19981;10.1;3.8;3.8;57.1;23.5;17.1;5.7;0.9;0.7;0.6;2.3;2.8;19.5;5.2;4.9
"....Lanao del Norte 1/, 2/, b/";15638;17062;19916;19.0;3.9;9.7;23.0;13.3;15.4;4.4;0.5;1.5;11.8;3.0;7.3;26.2;4.8;12.2
"....Misamis Occidental 1/, b/";15487;17092;21046;11.4;4.2;4.0;24.3;19.5;18.7;2.8;0.8;0.7;6.9;2.9;2.8;16.0;5.6;5.2
"....Misamis Oriental 1/, 2/, b/";15385;16835;19650;5.1;2.3;3.2;25.9;14.3;12.1;1.3;0.3;0.4;2.9;1.7;2.6;7.3;2.8;3.9
"....Davao del Norte 1/, b/, c/, d/";16659;19031;19095;8.3;2.2;2.0;37.7;27.0;40.3;3.1;0.6;0.8;3.2;1.2;0.7;13.5;3.2;3.3
"....Davao del Sur 1/, c/, d/";16099;18036;20785;5.6;2.2;1.8;18.8;30.2;20.7;1.0;0.7;0.4;3.9;1.1;1.2;7.3;3.3;2.5
"....Davao Oriental 2/, b/, d/";16001;18319;19302;5.5;7.6;4.9;24.3;11.9;21.2;1.3;0.9;1.0;3.3;6.1;3.2;7.7;9.1;6.6
"....Davao de Oro b/";15483;18066;18360;3.6;5.1;4.6;26.3;13.7;19.8;0.9;0.7;0.9;2.0;3.9;3.1;5.2;6.2;6.1
"....Davao Occidental e/";..;17642;19909;..;8.5;13.1;..;15.8;13.2;..;1.3;1.7;..;6.3;10.3;..;10.7;16.0
"....Cotabato 1/";14816;17507;19234;20.0;8.8;8.8;14.2;14.7;15.5;2.8;1.3;1.4;15.3;6.7;6.6;24.7;11.0;11.0
"....Sarangani b/";13970;16295;16824;25.2;17.3;14.1;21.5;14.9;10.8;5.4;2.6;1.5;16.3;13.1;11.6;34.1;21.5;16.6
"....South Cotabato 1/, b/, c/";14884;17629;17010;7.4;4.2;4.3;20.8;24.2;16.3;1.5;1.0;0.7;4.9;2.5;3.2;9.9;5.8;5.5
"....Sultan Kudarat 1/, b/";14816;16576;17633;25.2;9.4;9.1;24.2;15.3;15.0;6.1;1.4;1.4;15.2;7.1;6.9;35.3;11.8;11.4
"....Cotabato City a/, b/";17854;21152;23665;15.2;10.3;11.4;29.8;13.2;12.3;4.5;1.4;1.4;7.7;8.1;9.1;22.6;12.6;13.7
"....Agusan del Norte 1/, 2/, b/";14377;16538;19375;9.9;5.7;8.3;21.2;10.4;8.9;2.1;0.6;0.7;6.5;4.8;7.1;13.4;6.7;9.5
"....Agusan del Sur 1/";16098;17187;19399;17.1;9.6;12.4;19.4;13.9;10.1;3.3;1.3;1.3;11.6;7.4;10.4;22.5;11.8;14.5
"....Surigao Del Norte b/";17198;19741;18445;12.0;8.0;7.2;21.9;12.6;19.1;2.6;1.0;1.4;7.7;6.3;4.9;16.3;9.6;9.5
"....Surigao Del Sur 1/";15913;17334;18358;11.5;5.4;7.5;17.2;14.1;16.0;2.0;0.8;1.2;8.2;4.1;5.5;14.7;6.6;9.5
"....Dinagat Islands b/, d/";16939;18418;20772;12.2;7.6;8.9;22.9;18.6;22.2;2.8;1.4;2.0;7.6;5.3;5.7;16.8;10.0;12.2
"....Basilan 1/, 2/, b/";15009;18818;18648;8.5;34.1;16.3;23.6;7.3;11.5;2.0;2.5;1.9;5.2;30.1;13.3;11.7;38.2;19.4
"....Lanao del Sur 1/, 2/, d/";17041;20396;20379;40.7;31.0;0.3;13.0;7.6;41.4;5.3;2.3;0.1;32.0;27.1;0.1;49.4;34.9;0.4
"....Maguindanao 2/";14276;17739;17710;18.5;15.1;8.3;17.3;12.1;16.0;3.2;1.8;1.3;13.2;12.1;6.1;23.7;18.1;10.5
"....Sulu 1/, 2/";16205;20340;22224;14.2;31.5;17.1;19.4;5.9;12.3;2.8;1.9;2.1;9.7;28.4;13.6;18.8;34.6;20.5
"....Tawi-tawi 1/, 2/, b/";12289;15028;18399;0.5;2.0;6.4;98.8;19.1;15.7;0.5;0.4;1.0;0.0;1.4;4.8;1.2;2.7;8.1
