"Table 1. Annual Per Capita Poverty Threshold and Poverty Incidence Among Families with Measures of Precision, by Region and Province: 2015, 2018, and 2021p"

"Geolocation","Annual Per Capita Poverty Threshold  (in PhP) 2015","Annual Per Capita Poverty Threshold  (in PhP) 2018","Annual Per Capita Poverty Threshold  (in PhP) 2021p","Poverty Incidence among Families (%) 2015","Poverty Incidence among Families (%) 2018","Poverty Incidence among Families (%) 2021p","Coefficient of Variation 2015","Coefficient of Variation 2018","Coefficient of Variation 2021p","Standard Error 2015","Standard Error 2018","Standard Error 2021p","90% Confidence Interval (Lower Limit) 2015","90% Confidence Interval (Lower Limit) 2018","90% Confidence Interval (Lower Limit) 2021p","90% Confidence Interval (Upper Limit) 2015","90% Confidence Interval (Upper Limit) 2018","90% Confidence Interval (Upper Limit) 2021p"
"....1st District b/, c/, d/",25188,28682,32978,3.6,1.9,1.1,25.4,30.8,32.9,0.9,0.6,0.4,2.1,1.0,0.5,5.1,2.9,1.6
"....2nd District b/, c/",25188,28682,32978,1.9,1.4,1.6,20.6,20.1,15.9,0.4,0.3,0.3,1.3,1.0,1.2,2.6,1.9,2.1
"....3rd District 2/, b/",25188,28682,32978,3.4,2.2,3.3,21.0,13.8,10.8,0.7,0.3,0.4,2.2,1.7,2.7,4.6,2.7,3.9
"....4th District 1/, 2/",25188,28682,32978,3.1,0.7,2.5,19.6,14.5,9.0,0.6,0.1,0.2,2.1,0.5,2.2,4.1,0.9,2.9
"....Abra",21294,23596,29321,19.9,14.7,15.8,14.8,8.6,9.6,2.9,1.3,1.5,15.1,12.6,13.3,24.7,16.7,18.3
"....Apayao 1/, 2/, b/, d/",23310,23135,25694,38.1,16.0,4.7,24.5,13.8,22.9,9.3,2.2,1.1,22.7,12.3,2.9,53.4,19.6,6.4
"....Benguet 1/, b/",21935,24158,27519,2.6,4.2,3.9,22.7,14.1,10.9,0.6,0.6,0.4,1.6,3.3,3.2,3.6,5.2,4.6
"....Ifugao 1/, 2/",25133,26429,28734,34.9,9.9,6.0,20.0,15.1,18.2,7.0,1.5,1.1,23.5,7.5,4.2,46.4,12.4,7.8
"....Kalinga 1/, 2/",21267,24219,25447,34.5,9.2,5.6,16.3,12.5,18.7,5.6,1.1,1.0,25.2,7.3,3.9,43.7,11.1,7.3
"....Mt. Province 1/",24536,27815,31063,33.1,17.1,15.3,17.3,10.3,10.5,5.7,1.8,1.6,23.7,14.2,12.6,42.6,20.0,17.9
"....Ilocos Norte b/, c/, d/",23505,26711,31031,5.2,3.1,1.7,33.6,22.2,28.4,1.8,0.7,0.5,2.3,2.0,0.9,8.1,4.2,2.6
"....Ilocos Sur 1/, 2/, b/",23555,24603,32752,10.8,5.5,11.5,24.4,14.6,10.4,2.6,0.8,1.2,6.5,4.1,9.5,15.1,6.8,13.5
"....La Union 1/, 2/, b/",21893,22456,27909,13.5,2.9,6.6,20.4,19.6,13.3,2.8,0.6,0.9,9.0,1.9,5.2,18.1,3.8,8.1
"....Pangasinan 1/, 2/",22799,27828,31240,16.9,9.3,13.9,9.8,12.0,8.7,1.7,1.1,1.2,14.2,7.5,11.9,19.7,11.2,15.8
"....Batanes 1/, 2/, a/, d/",31422,37540,35550,10.0,6.5,2.6,0.0,15.9,27.5,0.0,1.0,0.7,10.0,4.8,1.4,10.0,8.2,3.7
"....Cagayan 2/",21479,24759,26954,14.0,12.5,7.3,13.2,9.7,13.6,1.9,1.2,1.0,10.9,10.5,5.7,17.0,14.5,8.9
"....Isabela",23365,25460,29452,12.4,13.2,15.9,11.0,10.6,9.8,1.4,1.4,1.6,10.2,10.9,13.3,14.6,15.5,18.5
"....Nueva Vizcaya b/",23250,24857,25514,10.5,11.6,10.8,26.2,12.9,13.9,2.7,1.5,1.5,5.9,9.2,8.3,15.0,14.1,13.3
"....Quirino 1/, 2/, b/",21602,23580,27060,20.3,8.9,6.2,27.0,11.4,14.6,5.5,1.0,0.9,11.3,7.3,4.7,29.3,10.6,7.7
"....Aurora 1/, 2/, a/",22665,25219,30282,27.3,11.8,16.5,13.3,11.6,11.3,3.6,1.4,1.9,21.3,9.5,13.4,33.3,14.0,19.6
"....Bataan 1/, 2/, b/",23127,29496,31046,0.8,5.8,9.0,97.1,14.4,11.3,0.8,0.8,1.0,0.0,4.4,7.4,2.1,7.2,10.7
"....Bulacan 2/, b/",21181,27244,33591,3.1,3.5,8.3,20.8,19.3,14.2,0.6,0.7,1.2,2.0,2.4,6.3,4.1,4.7,10.2
"....Nueva Ecija 1/, 2/",23006,25466,29751,16.8,6.6,10.0,12.7,13.4,12.7,2.1,0.9,1.3,13.3,5.1,7.9,20.3,8.0,12.0
"....Pampanga b/, c/",21686,26633,33122,2.7,2.1,2.9,21.9,29.3,17.2,0.6,0.6,0.5,1.7,1.1,2.1,3.7,3.1,3.8
"....Tarlac 1/",22344,25386,29704,13.2,7.7,8.1,13.8,11.0,9.8,1.8,0.8,0.8,10.2,6.3,6.8,16.2,9.1,9.4
"....Zambales 2/",26983,29977,33383,12.3,10.9,17.7,18.9,10.4,7.0,2.3,1.1,1.2,8.5,9.0,15.7,16.1,12.8,19.8
"....Batangas 1/, 2/",30086,33068,30828,17.4,8.6,4.3,13.3,12.7,19.2,2.3,1.1,0.8,13.6,6.8,2.9,21.2,10.4,5.6
"....Cavite 1/, 2/",27394,29157,35843,6.1,3.7,7.1,17.3,18.3,14.6,1.1,0.7,1.0,4.4,2.6,5.4,7.9,4.8,8.8
"....Laguna 2/, b/, c/",21278,23688,29892,3.8,2.7,6.9,25.2,20.1,14.6,1.0,0.5,1.0,2.2,1.8,5.2,5.4,3.6,8.5
"....Quezon 1/, 2/",20962,22805,27151,18.4,9.3,16.3,14.0,14.7,10.1,2.6,1.4,1.6,14.2,7.1,13.6,22.7,11.6,19.0
"....Rizal",25126,28647,32217,4.1,3.3,4.3,19.2,17.1,16.8,0.8,0.6,0.7,2.8,2.4,3.1,5.4,4.3,5.5
"....Marinduque  2/, b/",19951,24054,26959,12.5,10.0,15.6,29.2,10.6,8.1,3.6,1.1,1.3,6.5,8.2,13.6,18.4,11.7,17.7
"....Occidental Mindoro 1/, 2/, b/",20064,21341,26661,30.5,16.1,23.0,21.9,13.1,8.6,6.7,2.1,2.0,19.5,12.6,19.7,41.5,19.5,26.2
"....Oriental Mindoro 1/, 2/, b/",20345,24470,26265,15.3,7.3,12.8,20.4,19.0,14.7,3.1,1.4,1.9,10.2,5.0,9.7,20.4,9.6,15.9
"....Palawan b/",19709,23425,24127,12.6,8.2,9.4,21.9,12.7,10.9,2.8,1.0,1.0,8.1,6.5,7.7,17.2,9.9,11.1
"....Romblon 1/, 2/",21897,24087,28749,29.3,19.7,31.0,15.8,8.8,5.8,4.6,1.7,1.8,21.6,16.8,28.1,36.9,22.5,34.0
"....Albay",22328,24902,27346,18.5,15.0,15.4,12.7,9.9,10.1,2.3,1.5,1.6,14.6,12.5,12.9,22.3,17.4,18.0
"....Camarines Norte 1/, 2/",23940,25051,27571,35.1,22.4,16.6,14.4,7.1,9.8,5.1,1.6,1.6,26.8,19.8,13.9,43.5,25.0,19.2
"....Camarines Sur 1/, 2/",22874,24271,28651,28.5,21.0,29.8,9.6,8.7,7.1,2.7,1.8,2.1,24.0,17.9,26.3,33.0,24.0,33.3
"....Catanduanes 1/",21668,24380,28014,33.6,14.4,16.8,12.3,8.7,8.7,4.1,1.2,1.5,26.8,12.3,14.4,40.4,16.4,19.2
"....Masbate 1/, 2/",20406,22911,25545,35.5,25.8,20.2,11.0,7.5,8.7,3.9,1.9,1.8,29.1,22.6,17.3,42.0,29.0,23.1
"....Sorsogon 1/",23268,26069,27133,46.2,19.6,21.7,10.5,8.1,7.8,4.9,1.6,1.7,38.2,17.0,19.0,54.2,22.2,24.5
"....Aklan 2/, b/",22184,23745,26837,12.0,8.8,13.9,29.8,14.0,12.2,3.6,1.2,1.7,6.1,6.7,11.1,17.8,10.8,16.7
"....Antique 2/, b/",20672,24023,26633,18.4,12.9,18.2,30.4,10.5,9.6,5.6,1.4,1.8,9.2,10.7,15.4,27.6,15.2,21.1
"....Capiz b/",20866,22669,26692,7.0,4.1,6.1,43.4,15.1,17.0,3.0,0.6,1.0,2.0,3.1,4.4,12.0,5.1,7.8
"....Guimaras a/, b/",23327,25899,27090,4.8,6.8,7.3,81.5,18.8,13.5,3.9,1.3,1.0,0.0,4.7,5.7,11.3,8.9,9.0
"....Iloilo 1/",22898,26113,27821,16.4,12.1,12.6,12.3,9.3,11.0,2.0,1.1,1.4,13.1,10.2,10.3,19.8,13.9,14.9
"....Negros Occidental 1/",21577,23692,26782,25.5,14.5,16.4,9.8,10.5,8.3,2.5,1.5,1.4,21.3,12.0,14.1,29.6,17.0,18.6
"....Bohol 1/, 2/",22634,26108,26853,25.2,15.5,19.1,12.6,10.0,7.7,3.2,1.5,1.5,19.9,12.9,16.7,30.4,18.0,21.5
"....Cebu 1/, 2/",23061,25914,33657,20.0,11.3,22.8,7.8,9.6,6.9,1.6,1.1,1.6,17.4,9.5,20.2,22.6,13.1,25.4
"....Negros Oriental 1/",22077,25113,26024,36.3,19.4,23.6,10.9,9.6,9.0,3.9,1.9,2.1,29.8,16.3,20.1,42.8,22.5,27.1
"....Siquijor 1/, 2/, a/, b/, c/",21563,25649,25603,47.0,7.2,2.2,9.9,20.2,31.9,4.6,1.5,0.7,39.4,4.8,1.1,54.6,9.6,3.4
"....Biliran 2/, b/",21372,24216,28293,17.4,13.7,19.9,22.1,9.6,8.5,3.9,1.3,1.7,11.1,11.5,17.1,23.8,15.9,22.7
"....Eastern Samar 2/",25358,29070,28924,42.4,40.9,29.4,17.2,5.2,8.1,7.3,2.1,2.4,30.4,37.4,25.5,54.3,44.4,33.4
"....Leyte",21412,23574,26570,25.1,21.7,20.8,9.4,6.9,7.7,2.4,1.5,1.6,21.2,19.2,18.1,29.0,24.1,23.4
"....Northern Samar 1/, 2/",22775,25971,26572,51.8,27.6,19.3,11.2,7.3,8.0,5.8,2.0,1.5,42.3,24.3,16.7,61.4,30.9,21.8
"....Southern Leyte 1/",23968,25756,28799,32.7,17.3,16.0,13.6,8.5,8.5,4.4,1.5,1.4,25.4,14.9,13.8,40.0,19.8,18.2
"....Samar 1/, 2/",21298,23131,25259,41.8,22.2,27.0,13.9,8.8,7.6,5.8,2.0,2.1,32.3,19.0,23.7,51.4,25.4,30.4
"....Zamboanga del Norte 1/",24377,28523,33799,50.9,36.9,40.8,8.0,7.3,5.8,4.1,2.7,2.4,44.2,32.5,36.9,57.7,41.4,44.7
"....Zamboanga del Sur 2/",20444,23977,24066,18.9,17.4,13.4,12.3,7.5,8.9,2.3,1.3,1.2,15.1,15.3,11.4,22.7,19.6,15.4
"....Zamboanga Sibugay",21331,23054,24708,27.6,27.1,26.0,11.1,7.9,7.4,3.1,2.1,1.9,22.6,23.6,22.8,32.6,30.6,29.1
"....Isabela City 1/, 2/, a/, b/",22544,25870,23925,22.2,41.6,12.7,45.2,8.5,13.4,10.1,3.5,1.7,5.7,35.8,9.9,38.8,47.4,15.5
"....Bukidnon 1/",23993,25624,29040,47.6,22.3,22.8,6.7,7.3,9.2,3.2,1.6,2.1,42.4,19.6,19.4,52.8,25.0,26.2
"....Camiguin a/, b/",23908,26042,28514,33.9,17.9,14.7,29.5,9.9,10.3,10.0,1.8,1.5,17.4,15.0,12.2,50.3,20.9,17.2
"....Lanao del Norte 1/, 2/",22485,24450,28589,38.1,19.0,25.5,14.3,6.9,7.3,5.4,1.3,1.9,29.2,16.9,22.5,47.1,21.2,28.6
"....Misamis Occidental 1/",22261,24505,30062,36.8,19.5,18.3,10.3,8.7,10.2,3.8,1.7,1.9,30.5,16.7,15.2,43.1,22.3,21.3
"....Misamis Oriental 1/",22117,24118,28270,16.5,11.4,13.0,12.6,7.4,7.4,2.1,0.8,1.0,13.1,10.1,11.4,19.9,12.8,14.5
"....Davao del Norte 1/",23807,27034,27354,24.3,10.3,7.3,16.6,13.3,16.1,4.0,1.4,1.2,17.7,8.0,5.4,31.0,12.5,9.3
"....Davao del Sur 1/",23215,25807,29749,14.8,8.1,7.2,12.8,14.3,10.7,1.9,1.2,0.8,11.7,6.2,6.0,17.9,10.0,8.5
"....Davao Oriental 2/",22889,26347,27806,22.5,27.7,21.8,16.2,6.7,8.2,3.6,1.8,1.8,16.5,24.7,18.8,28.5,30.7,24.7
"....Davao de Oro",22092,25867,26161,20.8,18.6,17.7,12.7,8.4,9.0,2.6,1.6,1.6,16.4,16.0,15.1,25.2,21.1,20.4
"....Davao Occidental e/",..,25356,28511,..,31.9,34.5,..,6.8,7.2,..,2.2,2.5,..,28.3,30.4,..,35.4,38.6
"....Cotabato 1/",21237,25020,27473,36.5,23.6,23.6,9.1,10.6,9.8,3.3,2.5,2.3,31.1,19.5,19.8,42.0,27.7,27.4
"....Sarangani",20037,23282,24070,45.2,36.1,33.5,12.0,9.0,7.2,5.4,3.3,2.4,36.3,30.7,29.6,54.2,41.4,37.5
"....South Cotabato 1/",21356,25240,24455,18.3,13.7,12.8,12.8,10.9,9.4,2.3,1.5,1.2,14.5,11.3,10.8,22.1,16.2,14.7
"....Sultan Kudarat 1/",21212,23775,25295,41.2,24.3,23.8,18.1,8.2,10.1,7.5,2.0,2.4,28.9,21.0,19.8,53.5,27.6,27.7
"....Cotabato City a/, b/",25581,30349,33890,38.5,35.2,31.3,22.4,6.8,8.2,8.6,2.4,2.6,24.3,31.3,27.1,52.7,39.1,35.5
"..Region XIII (Caraga) 1/",22788,25375,27335,31.1,24.1,25.9,5.8,3.5,3.5,1.8,0.8,0.9,28.2,22.7,24.4,34.1,25.5,27.4
"....Agusan del Norte 1/, 2/",20566,23775,27722,25.8,18.9,23.5,14.4,6.2,5.3,3.7,1.2,1.2,19.6,17.0,21.5,31.9,20.9,25.5
"....Agusan del Sur",23108,24655,27821,37.5,30.6,33.4,10.3,7.1,6.4,3.9,2.2,2.1,31.1,27.0,29.9,43.8,34.1,36.9
"....Surigao Del Norte 2/",24662,28293,26444,28.8,27.7,21.2,12.0,6.5,11.2,3.5,1.8,2.4,23.1,24.7,17.3,34.5,30.6,25.0
"....Surigao Del Sur 1/, 2/",22859,24873,26441,32.3,19.2,24.0,10.5,9.0,7.8,3.4,1.7,1.9,26.7,16.3,20.9,37.8,22.1,27.1
"....Dinagat Islands b/",24257,26409,28907,34.6,26.5,26.1,21.4,10.2,10.2,7.4,2.7,2.7,22.4,22.1,21.7,46.8,30.9,30.5
"....Basilan 1/, 2/",21472,26951,26728,35.6,66.3,42.5,18.1,3.4,6.3,6.5,2.2,2.7,25.0,62.7,38.1,46.3,70.0,46.9
"....Lanao del Sur 1/, 2/",24421,29224,29083,72.4,64.2,7.4,5.6,3.7,11.2,4.1,2.4,0.8,65.7,60.3,6.0,79.2,68.1,8.8
"....Maguindanao 2/",20399,25368,25371,45.7,40.6,29.8,8.7,7.4,8.3,4.0,3.0,2.5,39.2,35.7,25.7,52.3,45.6,33.9
"....Sulu 1/, 2/",23115,29150,31782,63.8,75.3,51.0,8.5,2.5,5.5,5.4,1.9,2.8,54.8,72.2,46.4,72.7,78.4,55.5
"....Tawi-tawi 2/, b/",17666,21264,26336,15.2,15.1,28.1,30.2,9.0,10.5,4.6,1.4,2.9,7.6,12.8,23.3,22.7,17.3,33.0
