"Table 12. Severity of Poverty with Measures of Precision, by Region and Province: 2015, 2018, and 2021p"

"Geolocation";"Severity of Poverty (%) 2015";"Severity of Poverty (%) 2018";"Severity of Poverty (%) 2021p";"Standard Error 2015";"Standard Error 2018";"Standard Error 2021p";"90% Confidence Interval (Lower Limit) 2015";"90% Confidence Interval (Lower Limit) 2018";"90% Confidence Interval (Lower Limit) 2021p";"90% Confidence Interval (Upper Limit) 2015";"90% Confidence Interval (Upper Limit) 2018";"90% Confidence Interval (Upper Limit) 2021p"
"....1st District 2/";0.3;0.1;0.0;0.1;0.0;0.0;0.1;0.1;0.0;0.4;0.2;0.0
"....2nd District";0.1;0.0;0.1;0.0;0.0;0.0;0.0;0.0;0.0;0.1;0.1;0.1
"....3rd District";0.1;0.1;0.1;0.0;0.0;0.0;0.1;0.0;0.1;0.2;0.2;0.1
"....4th District 1/, 2/";0.2;0.0;0.1;0.1;0.0;0.0;0.1;0.0;0.1;0.2;0.0;0.1
"....Abra";1.1;1.1;0.9;0.3;0.2;0.2;0.6;0.9;0.7;1.5;1.4;1.2
"....Apayao 2/";2.9;1.0;0.2;1.3;0.2;0.1;0.7;0.7;0.1;5.0;1.3;0.3
"....Benguet 1/";0.1;0.3;0.2;0.0;0.1;0.0;0.0;0.2;0.2;0.1;0.4;0.3
"....Ifugao 1/";3.7;0.4;0.3;1.3;0.1;0.1;1.6;0.2;0.1;5.8;0.6;0.4
"....Kalinga 1/";3.3;0.5;0.3;0.8;0.1;0.1;1.9;0.3;0.2;4.6;0.6;0.5
"....Mt. Province 1/, 2/";2.9;1.3;0.9;0.8;0.2;0.1;1.6;1.0;0.7;4.2;1.6;1.1
"....Ilocos Norte";0.1;0.0;0.0;0.1;0.0;0.0;0.0;0.0;0.0;0.2;0.1;0.1
"....Ilocos Sur 1/, 2/";0.5;0.2;0.8;0.1;0.0;0.1;0.3;0.1;0.6;0.7;0.3;1.0
"....La Union 1/, 2/";1.3;0.1;0.3;0.5;0.0;0.1;0.5;0.0;0.2;2.1;0.1;0.4
"....Pangasinan 1/, 2/";1.0;0.4;1.0;0.2;0.1;0.1;0.7;0.3;0.8;1.2;0.6;1.2
"....Batanes 1/, 2/, a/";0.0;0.3;0.1;0.0;0.1;0.0;0.0;0.2;0.0;0.0;0.4;0.1
"....Cagayan 2/";0.8;0.7;0.4;0.1;0.1;0.1;0.6;0.5;0.2;1.1;0.8;0.5
"....Isabela 1/";0.5;0.8;1.1;0.1;0.1;0.2;0.4;0.6;0.8;0.6;0.9;1.4
"....Nueva Vizcaya";0.7;0.7;0.8;0.2;0.1;0.2;0.3;0.5;0.4;1.0;0.9;1.1
"....Quirino 1/, 2/";1.2;0.4;0.2;0.4;0.1;0.0;0.5;0.3;0.2;1.8;0.5;0.3
"....Aurora 1/, 2/, a/";2.7;0.6;1.1;0.1;0.1;0.2;2.5;0.4;0.8;2.9;0.8;1.4
"....Bataan 1/";0.0;0.3;0.5;0.0;0.1;0.1;0.0;0.2;0.3;0.1;0.5;0.7
"....Bulacan 2/";0.2;0.2;0.5;0.0;0.1;0.1;0.1;0.1;0.3;0.2;0.3;0.7
"....Nueva Ecija 1/";1.0;0.3;0.4;0.3;0.1;0.1;0.6;0.2;0.3;1.5;0.4;0.6
"....Pampanga";0.1;0.1;0.1;0.0;0.0;0.0;0.0;0.0;0.1;0.1;0.2;0.1
"....Tarlac 1/";0.9;0.3;0.5;0.2;0.1;0.1;0.6;0.2;0.4;1.2;0.4;0.6
"....Zambales";0.9;0.9;1.3;0.3;0.2;0.2;0.4;0.6;1.0;1.4;1.2;1.5
"....Batangas 1/, 2/";1.6;0.4;0.2;0.3;0.1;0.0;1.1;0.3;0.1;2.1;0.5;0.3
"....Cavite";0.3;0.2;0.4;0.1;0.1;0.1;0.2;0.1;0.2;0.5;0.4;0.6
"....Laguna 2/";0.2;0.1;0.4;0.1;0.0;0.1;0.1;0.0;0.3;0.3;0.1;0.6
"....Quezon 1/, 2/";1.4;0.6;1.2;0.3;0.1;0.2;0.9;0.4;0.9;1.8;0.8;1.5
"....Rizal";0.2;0.2;0.2;0.1;0.1;0.0;0.1;0.1;0.1;0.3;0.3;0.2
"....Marinduque";0.6;0.7;0.8;0.2;0.1;0.1;0.3;0.5;0.6;1.0;0.9;1.0
"....Occidental Mindoro 1/, 2/";3.8;1.5;2.3;0.8;0.3;0.3;2.4;1.0;1.7;5.1;2.0;2.9
"....Oriental Mindoro 1/, 2/";2.0;0.5;1.3;0.8;0.2;0.3;0.7;0.2;0.8;3.3;0.8;1.7
"....Palawan";0.7;0.5;0.5;0.2;0.1;0.1;0.3;0.3;0.3;1.0;0.7;0.7
"....Romblon 2/";1.9;1.2;2.3;0.4;0.2;0.2;1.2;0.9;1.9;2.6;1.5;2.7
"....Albay 1/";1.4;0.8;1.1;0.2;0.1;0.2;1.0;0.6;0.8;1.8;1.0;1.4
"....Camarines Norte 1/, 2/";2.9;1.3;0.9;0.7;0.2;0.1;1.6;1.1;0.7;4.1;1.6;1.2
"....Camarines Sur 2/";1.9;1.3;2.6;0.3;0.2;0.3;1.3;1.0;2.1;2.4;1.6;3.1
"....Catanduanes 1/";3.4;0.9;1.0;1.2;0.1;0.1;1.5;0.7;0.8;5.4;1.1;1.2
"....Masbate 1/";2.7;1.5;1.4;0.5;0.2;0.2;1.8;1.2;1.1;3.6;1.8;1.8
"....Sorsogon 1/";3.8;1.2;1.4;0.6;0.2;0.2;2.8;0.9;1.1;4.8;1.4;1.6
"....Aklan 2/";0.3;0.3;1.0;0.1;0.1;0.2;0.1;0.2;0.7;0.5;0.5;1.3
"....Antique 2/";1.2;0.7;1.5;0.7;0.1;0.2;0.1;0.6;1.1;2.4;0.9;1.9
"....Capiz 2/";0.3;0.1;0.2;0.2;0.0;0.1;0.0;0.1;0.1;0.7;0.1;0.3
"....Guimaras a/";0.1;0.2;0.3;0.1;0.1;0.1;0.0;0.1;0.2;0.2;0.4;0.4
"....Iloilo 1/, 2/";1.4;0.6;1.0;0.3;0.1;0.2;0.9;0.4;0.7;1.8;0.8;1.3
"....Negros Occidental 1/";2.1;1.0;1.0;0.4;0.2;0.1;1.4;0.6;0.8;2.8;1.4;1.2
"....Bohol 1/, 2/";2.9;0.8;1.6;0.5;0.1;0.2;2.1;0.6;1.3;3.8;1.0;1.9
"....Cebu 1/, 2/";2.2;0.7;2.3;0.3;0.1;0.3;1.7;0.5;1.8;2.6;0.9;2.8
"....Negros Oriental 1/";4.5;1.8;2.3;0.7;0.3;0.4;3.4;1.3;1.6;5.6;2.2;2.9
"....Siquijor 1/, 2/, a/";4.2;0.4;0.1;0.7;0.1;0.0;3.1;0.2;0.0;5.4;0.6;0.1
"....Biliran 1/, 2/";1.2;0.6;1.5;0.3;0.1;0.2;0.7;0.5;1.2;1.7;0.7;1.8
"....Eastern Samar 2/";5.9;4.2;2.6;1.7;0.3;0.3;3.1;3.7;2.1;8.7;4.8;3.0
"....Leyte";1.9;1.5;1.8;0.3;0.2;0.2;1.5;1.2;1.4;2.3;1.8;2.3
"....Northern Samar 1/, 2/";7.0;1.9;1.0;1.2;0.2;0.1;5.0;1.5;0.8;9.0;2.2;1.2
"....Southern Leyte 1/";3.6;0.9;1.0;0.9;0.1;0.1;2.0;0.7;0.8;5.1;1.1;1.2
"....Samar 1/";5.2;1.6;2.1;1.3;0.2;0.3;3.0;1.2;1.7;7.3;2.0;2.6
"....Zamboanga del Norte 1/";6.7;3.8;4.8;0.9;0.4;0.5;5.2;3.2;4.0;8.2;4.5;5.6
"....Zamboanga del Sur";1.3;1.2;1.0;0.3;0.2;0.2;0.9;0.9;0.8;1.7;1.5;1.3
"....Zamboanga Sibugay";1.5;2.0;2.2;0.3;0.3;0.3;1.0;1.6;1.7;2.0;2.4;2.6
"....Isabela City 1/, 2/, a/";1.1;3.2;0.6;0.4;0.5;0.1;0.5;2.3;0.4;1.7;4.0;0.8
"....Bukidnon 1/, 2/";6.5;1.3;2.1;0.8;0.2;0.3;5.2;1.1;1.5;7.9;1.6;2.6
"....Camiguin a/";3.4;0.9;1.1;1.7;0.1;0.2;0.6;0.7;0.8;6.1;1.2;1.4
"....Lanao del Norte 1/, 2/";4.9;1.0;2.4;1.1;0.1;0.4;3.1;0.8;1.8;6.7;1.2;3.0
"....Misamis Occidental 1/";3.2;1.1;1.0;0.8;0.2;0.2;1.9;0.8;0.7;4.5;1.3;1.2
"....Misamis Oriental 1/, 2/";1.3;0.6;0.8;0.3;0.1;0.1;0.8;0.5;0.7;1.8;0.8;1.0
"....Davao del Norte 1/";2.3;0.5;0.5;0.8;0.1;0.2;1.0;0.3;0.2;3.6;0.7;0.8
"....Davao del Sur 1/";1.3;0.6;0.5;0.2;0.2;0.1;0.9;0.3;0.3;1.7;0.9;0.7
"....Davao Oriental 2/";1.3;1.8;1.2;0.3;0.2;0.2;0.9;1.5;0.8;1.8;2.1;1.5
"....Davao de Oro";1.2;1.3;1.2;0.3;0.2;0.2;0.8;1.0;0.8;1.6;1.6;1.5
"....Davao Occidental 2/, b/";..;..;3.2;..;0.3;0.4;..;1.7;2.5;..;2.6;4.0
"....Cotabato 1/";5.1;2.1;2.2;0.8;0.3;0.3;3.8;1.6;1.6;6.3;2.7;2.7
"....Sarangani";7.0;5.2;3.7;1.6;0.9;0.5;4.4;3.7;2.9;9.6;6.7;4.4
"....South Cotabato";1.9;1.2;1.1;0.4;0.4;0.2;1.3;0.6;0.8;2.5;1.8;1.4
"....Sultan Kudarat 1/";7.4;2.5;2.0;1.9;0.4;0.3;4.2;1.9;1.6;10.6;3.1;2.5
"....Cotabato City a/";3.2;2.6;2.6;0.7;0.3;0.3;2.1;2.1;2.1;4.3;3.1;3.1
"....Agusan del Norte 1/, 2/";2.6;1.4;2.1;0.6;0.1;0.2;1.6;1.2;1.8;3.5;1.7;2.4
"....Agusan del Sur 1/";4.2;2.4;2.9;0.8;0.3;0.3;2.9;1.9;2.5;5.4;2.9;3.4
"....Surigao Del Norte";2.7;2.0;1.6;0.5;0.2;0.3;1.9;1.7;1.2;3.6;2.4;2.1
"....Surigao Del Sur 1/";2.9;1.3;1.8;0.4;0.2;0.3;2.1;1.1;1.3;3.6;1.6;2.2
"....Dinagat Islands 1/";2.9;1.8;2.0;0.6;0.3;0.4;1.9;1.3;1.3;4.0;2.3;2.6
"....Basilan 1/, 2/";1.6;8.1;4.0;0.3;0.6;0.5;1.1;7.2;3.3;2.2;9.0;4.8
"....Lanao del Sur 2/";9.5;7.8;0.1;1.2;0.6;0.0;7.5;6.8;0.1;11.5;8.8;0.2
"....Maguindanao 2/";4.7;3.7;2.0;0.8;0.5;0.3;3.4;2.9;1.6;5.9;4.4;2.5
"....Sulu 1/, 2/";3.7;7.4;4.5;0.5;0.4;0.5;2.9;6.7;3.6;4.6;8.0;5.3
"....Tawi-tawi 1/, 2/";0.3;0.6;1.8;0.1;0.1;0.3;0.1;0.5;1.4;0.5;0.8;2.3
